mL Water, Vsig(1), Vsig(2), Vsig(3), Mean
0.000, 3.106, 3.104, 3.105, 3.105
1.250, 3.103, 3.102, 3.105, 3.103
2.500, 3.006, 3.044, 3.025, 3.025
3.750, 2.970, 2.900, 2.881, 2.917
5.000, 2.788, 2.788, 2.785, 2.787
6.250, 2.716, 2.720, 2.704, 2.713
7.500, 2.620, 2.610, 2.589, 2.606
8.750, 2.530, 2.552, 2.555, 2.546
10.000, 2.484, 2.500, 2.517, 2.500
11.250, 2.460, 2.481, 2.501, 2.481
12.500, 2.454, 2.472, 2.477, 2.468
13.750, 2.375, 2.381, 2.373, 2.376
15.000, 2.285, 2.324, 2.350, 2.320
16.250, 2.220, 2.319, 2.330, 2.290
17.500, 2.275, 2.305, 2.319, 2.300
18.750, 2.220, 2.290, 2.306, 2.272
20.000, 2.246, 2.274, 2.287, 2.269
